# ----------------------------------------
# Alle websitegegevens
# User Explorer
# 20210201-20210228
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1137759629.1614152674,1,00:05:22,0.00%,US$0.00,0,0.00%
1139472241.1556971985,1,00:00:10,0.00%,US$0.00,0,0.00%
1140028952.1556971796,1,00:00:10,0.00%,US$0.00,0,0.00%
114260601.1610544562,1,00:05:53,0.00%,US$0.00,0,0.00%
1143750301.1612390453,1,00:00:28,0.00%,US$0.00,0,0.00%
114471851.1556971694,1,00:00:10,0.00%,US$0.00,0,0.00%
1149752333.1613568927,1,00:00:00,100.00%,US$0.00,0,0.00%
1150176381.1556971293,1,00:00:10,0.00%,US$0.00,0,0.00%
1151189138.1613563647,1,00:01:04,0.00%,US$0.00,0,0.00%
1151228630.1614324410,1,00:00:00,100.00%,US$0.00,0,0.00%
1151825324.1613771193,1,00:00:00,100.00%,US$0.00,0,0.00%
115257055.1613306231,1,00:06:09,0.00%,US$0.00,0,0.00%
1154627148.1556972208,1,00:00:09,0.00%,US$0.00,0,0.00%
1156126745.1556972061,1,00:00:10,0.00%,US$0.00,0,0.00%
1158627916.1612371821,1,00:00:16,0.00%,US$0.00,0,0.00%
1161601481.1613516934,1,00:02:18,0.00%,US$0.00,0,0.00%
1163942834.1614164114,1,00:00:00,100.00%,US$0.00,0,0.00%
116523232.1612266465,1,00:00:00,100.00%,US$0.00,0,0.00%
1165810998.1614340806,1,00:00:02,0.00%,US$0.00,0,0.00%
1166780767.1613550297,1,00:00:23,0.00%,US$0.00,0,0.00%
1166807826.1613570722,1,00:00:00,100.00%,US$0.00,0,0.00%
1167474587.1613309888,1,00:00:00,100.00%,US$0.00,0,0.00%
1168751565.1613077518,1,00:00:00,100.00%,US$0.00,0,0.00%
1169002472.1613840127,1,00:00:07,0.00%,US$0.00,0,0.00%
1172407471.1556972480,1,00:00:10,0.00%,US$0.00,0,0.00%
1174390424.1556972246,1,00:00:10,0.00%,US$0.00,0,0.00%
1176102091.1612947176,1,00:00:14,0.00%,US$0.00,0,0.00%
1176492115.1556971858,1,00:00:10,0.00%,US$0.00,0,0.00%
1178332236.1613493532,1,00:07:05,0.00%,US$0.00,0,0.00%
1179538096.1612169344,1,00:00:00,100.00%,US$0.00,0,0.00%
1183367160.1613675819,1,00:00:10,0.00%,US$0.00,0,0.00%
1187325168.1612886878,1,00:00:00,100.00%,US$0.00,0,0.00%
1187386105.1613501144,1,00:00:47,0.00%,US$0.00,0,0.00%
1188919886.1613429616,1,00:00:00,100.00%,US$0.00,0,0.00%
1192150358.1613042446,1,00:00:06,0.00%,US$0.00,0,0.00%
1193122915.1612348171,1,00:00:06,0.00%,US$0.00,0,0.00%
1193568212.1556971758,1,00:00:09,0.00%,US$0.00,0,0.00%
1193846680.1613490518,1,00:00:07,0.00%,US$0.00,0,0.00%
119453093.1612885982,1,00:00:00,100.00%,US$0.00,0,0.00%
119480632.1556971900,1,00:00:10,0.00%,US$0.00,0,0.00%
1196786924.1556972149,1,00:00:10,0.00%,US$0.00,0,0.00%
1197027560.1556972073,1,00:00:11,0.00%,US$0.00,0,0.00%
1198481542.1614249938,1,00:00:00,100.00%,US$0.00,0,0.00%
