Key,Prods UPC,Prods Moco,Prods Model Name,Prods Model Code,Prods Model Family,Prods Brand,Prods Category 1,Prods Category 2,Prods Category 3,Prods Business Theme,Prods Business Story,Prods Gender,Prods Shape,Prods Size,Prods Lens Color,Prods Le0s Polarized,Prods Lens Technology,Prods Front Color,Prods Frame Technology,Prods Asian Fit,Prods Customizable,Prods E0gravable,Prods Web Exclusive,Prods Release,Prods Lens Correction Type,Prods Roxable,Prods Collection,Prods Rox,Prods Custom
8053672724714,8053672724714,0VO5133S__25318H,VO5133S,0VO5133S,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,Casual Chic,FOLLOW THE TREND,FEMALE,Phantos,53,,0,Gradient,Violet,Injected,Global,,,,201611,,0,,0,0
8053672724783,8053672724783,0VO5134S__253248,VO5134S,0VO5134S,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,Casual Chic,FOLLOW THE TREND,FEMALE,Phantos,55,,0,Gradient,Clear,Injected,Intertiol,,,,201611,,0,,0,0
8053672724868,8053672724868,0VO5161S__25347B,VO5161S,0VO5161S,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,In Vogue,FOLLOW THE TREND,FEMALE,Phantos,51,,0,Gradient Mirror,Blue,Injected,Intertiol,,,,201611,,0,,0,0
8053672725216,8053672725216,0VO5154SB__253714,VO5154SB,0VO5154SB,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,Timeless,LIGHT BIJOUX,FEMALE,Pillow,56,,0,Gradient,Red,Injected,Global,,,,201611,,0,,0,0
8053672761450,8053672761450,0VO4061S__50534Z,VO4061S,0VO4061S,,Vogue Eyewear,Eyewear,SUN,Accessible-Fashion,,FOLLOW THE TREND,FEMALE,Round,52,,0,SOLID COLOR - MIRROR,Copper,Metal,Global,,,,201703,,0,,0,0
8056597316309,8056597316309,0RB4335__650279,RB4335,0RB4335,,Ray-Ban,Eyewear,SUN,Lifestyle,Highstreet,,UNISEX,Rectangle,STD,Blue,0,Solid Color,Blue,Injected,Intertiol,,,,201910,,0,,0,0
8053672895568,8053672895568,0PO3210S__106056,PO3210S,0PO3210S,,Persol,Eyewear,SUN,Luxury-Fashion,,,MALE,Oval,STD,TRANSPARENT,0,Solid Color,Black,Acetate,Intertiol,,,,201802,,0,,0,0
8053672931488,8053672931488,0PO2649S__107831,PO2649S,0PO2649S,,Persol,Eyewear,SUN,Luxury-Fashion,,,MALE,Pilot,55,TRANSPARENT,0,Solid Color,Black,Steel,Intertiol,,,,201802,,0,,0,0
8053672931518,8053672931518,0PO2649S__518_56,PO2649S,0PO2649S,,Persol,Eyewear,SUN,Luxury-Fashion,,,MALE,Pilot,55,,0,Solid Color,Silver,Steel,Intertiol,,,,201802,,0,,0,0
8053672982954,8053672982954,0PO3199S__108152,PO3199S,0PO3199S,,Persol,Eyewear,SUN,Luxury-Fashion,Icon,,UNISEX,Square,50,TRANSPARENT,0,Solid Color,Brown,Acetate,Intertiol,,,,201807,,0,,0,0
8056597195751,8056597195751,0DG4379F__32662L,DG4379F DOMENICO DEEP,0DG4379F,,Dolce & Gabba,Eyewear,SUN,Luxury-Fashion,,EXC BTQ,MALE,Square,50,,0,Gradient,Yellow Hava,Acetate,Intertiol,,,,201911,,0,,0,0
8056597195737,8056597195737,0DG4379F__326573,DG4379F DOMENICO DEEP,0DG4379F,,Dolce & Gabba,Eyewear,SUN,Luxury-Fashion,,EXC BTQ,MALE,Square,50,,0,Solid Color,Tortoise,Acetate,Intertiol,,,,201911,,0,,0,0
8056597147040,8056597147040,0DG2166T__1159AB,DG2166T TITANIUM,0DG2166T,,Dolce & Gabba,Eyewear,SUN,Luxury-Fashion,,EXC BTQ,MALE,Pilot,61,,0,Solid Color,Grey,Titanium,Intertiol,,,,201910,,0,,0,0
8051823814161,8051823814161,0DG4338__501_87,DG4338,0DG4338,,Dolce & Gabba,Eyewear,SUN,Luxury-Fashion,,DOMENICO,MALE,Square,52,TRANSPARENT,0,Solid Color,Black,Acetate,Intertiol,,,,201803,,0,,0,0
8056597209045,8056597209045,0PH4162__586055,PH4162,0PH4162,,Polo Ralph Lauren,Eyewear,SUN,Designer-Fashion,,PONY & COLOR BLOCK,MALE,Pillow,54,,0,Solid Color,Blue,Injected,Intertiol,,,,202002,,0,,0,0
8056597328111,8056597328111,0RB3025__002_48,RB3025 AVIATOR LARGE METAL,0RB3025,AVIATOR,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,ICONS \\ AVIATOR FAMILY,UNISEX,Pilot,58,,1,Solid Color,Black,Metal,Global,,,,202002,,0,,0,0
8056597328135,8056597328135,0RB3016__130548,RB3016 CLUBMASTER CLASSIC,0RB3016,CLUBMASTER,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,ICONS \\ CLUBMASTER FAMILY,UNISEX,Square,51,,1,Solid Color,Black,Acetate,Intertiol,,,,202002,,0,,0,0
888392486516,888392486516,0OO9014__901462,OO9014 Gascan®,0OO9014,,Oakley,Eyewear,SUN,Sport,Icon,,MALE,Rectangle,60,,1,Solid Color - Mirror,Black,Injected,Global,,,,202002,,0,,0,0
888392517098,888392517098,0AN4273__269180,AN4273 POST MALONE X ARNETTE,0AN4273,,Arnette,Eyewear,SUN,Accessible-Fashion,,POST MALONE+ARNETTE,MALE,Rectangle,53,,0,Solid Color,Blue,Injected,Global,,,,202002,,0,,0,0
8056597242769,8056597242769,0RB2248__954_57,RB2248 Caribbean,0RB2248,ORIGINAL WAYFARER,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,,UNISEX,Rectangle,STD,Brown,1,Solid Color,Striped Hava,Acetate,Global,,,,202002,,1,,0,0
8056597242752,8056597242752,0RB2248__902_R5,RB2248 Caribbean,0RB2248,ORIGINAL WAYFARER,Ray-Ban,Eyewear,SUN,Lifestyle,Icons,,UNISEX,Rectangle,STD,Dark Blue,0,Solid Color,Tortoise,Acetate,Global,,,,202002,,1,,0,0
889652206646,889652206646,06E000174__4240L1,6.00E+174,6.00E+174,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Cat Eye,61,,0,Solid Color,Silver,Metal,Global,,,,201901,,0,,0,0
889652205557,889652205557,06E000172__1220L1,6.00E+172,6.00E+172,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Pilot,58,,0,Solid Color,Black,Metal,Global,,,,201901,,0,,0,0
889652205878,889652205878,06E000185__1330R1,6.00E+185,6.00E+185,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Round,45,,0,Solid Color,Black,Acetate,Global,,,,201901,,0,,0,0
889652206806,889652206806,06E000174__1500B1,6.00E+174,6.00E+174,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Cat Eye,61,,0,Solid Color,Blue,Metal,Global,,,,201901,,0,,0,0
889652206974,889652206974,06E000174__2390D1,6.00E+174,6.00E+174,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Cat Eye,61,,0,Solid Color,Gold,Metal,Global,,,,201901,,0,,0,0
889652205793,889652205793,06E000185__1330L1,6.00E+185,6.00E+185,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Round,45,,0,Solid Color,Black,Acetate,Global,,,,201901,,0,,0,0
889652215013,889652215013,06E000192__4100V1,6.00E+192,6.00E+192,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,90,,0,Solid Color,Silver,Injected,Global,,,,201809,,0,,0,0
889652206950,889652206950,06E000173__2390D1,6.00E+173,6.00E+173,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Pilot,59,,0,Solid Color,Gold,Metal,Global,,,,201901,,0,,0,0
889652206462,889652206462,06E000173__3700S1,6.00E+173,6.00E+173,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Pilot,59,,0,Solid Color,Violet,Metal,Global,,,,201901,,0,,0,0
889652215099,889652215099,06E000187__1330L1,6.00E+187,6.00E+187,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,FEMALE,Round,63,,0,Solid Color,Black,Injected,Global,,,,201901,,0,,0,0
889652231020,889652231020,06E000189__1330L1,6.00E+189,6.00E+189,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Square,54,,0,Solid Color,Black,Acetate,Global,,,,201901,,0,,0,0
889652207063,889652207063,06E000173__4240V1,6.00E+173,6.00E+173,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Pilot,59,,0,Solid Color,Silver,Metal,Global,,,,201901,,0,,0,0
889652206486,889652206486,06E000184__4920V1,6.00E+184,6.00E+184,,Balenciaga,Eyewear,SUN,Luxury-Fashion,,,UNISEX,Rectangle,40,,0,Solid Color,White,Acetate,Global,,,,201901,,0,,0,0
