# ----------------------------------------
# Alle websitegegevens
# Gebruikers-verkenner
# 20190101-20190408
# ----------------------------------------

Klant-ID,Sessies,Gem. sessieduur,Bouncepercentage,Opbrengst,Transacties,Doelconversieratio
1750725962.1550223990,4,00:02:59,"25,00%","US$ 0,00",0,"0,00%"
1782541113.1550958448,4,00:02:31,"75,00%","US$ 0,00",0,"0,00%"
1810492545.1546602216,4,00:01:24,"0,00%","US$ 0,00",0,"0,00%"
1860140432.1547468496,4,00:02:42,"25,00%","US$ 0,00",0,"0,00%"
186093111.1548149269,4,00:00:03,"75,00%","US$ 0,00",0,"0,00%"
1885825397.1550054642,4,00:01:00,"75,00%","US$ 0,00",0,"0,00%"
1889725058.1551277755,4,00:07:35,"50,00%","US$ 0,00",0,"0,00%"
1896523576.1552135739,4,00:05:37,"0,00%","US$ 0,00",0,"0,00%"
1897191817.1549442178,4,00:01:21,"50,00%","US$ 0,00",0,"0,00%"
1907339161.1547556896,4,00:05:30,"50,00%","US$ 0,00",0,"0,00%"
1913169854.1553638136,4,00:03:26,"25,00%","US$ 0,00",0,"0,00%"
2019679796.1552337208,4,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
2035549915.1553018179,4,00:09:06,"0,00%","US$ 0,00",0,"0,00%"
2097093319.1554366556,4,00:00:35,"25,00%","US$ 0,00",0,"0,00%"
2118517840.1488371454,4,00:07:28,"0,00%","US$ 0,00",0,"0,00%"
2127471235.1550011061,4,00:08:09,"50,00%","US$ 0,00",0,"0,00%"
213847078.1522850159,4,00:01:11,"25,00%","US$ 0,00",0,"0,00%"
2147403719.1554129366,4,00:00:06,"75,00%","US$ 0,00",0,"0,00%"
256763629.1550657500,4,00:06:05,"25,00%","US$ 0,00",0,"0,00%"
306137539.1544207306,4,00:01:01,"50,00%","US$ 0,00",0,"0,00%"
32134414.1551715122,4,00:04:34,"25,00%","US$ 0,00",0,"0,00%"
345975215.1552573000,4,00:04:48,"75,00%","US$ 0,00",0,"0,00%"
360389633.1552906338,4,00:00:07,"75,00%","US$ 0,00",0,"0,00%"
440714121.1548415101,4,00:00:00,"100,00%","US$ 0,00",0,"0,00%"
478707822.1552735779,4,00:00:28,"75,00%","US$ 0,00",0,"0,00%"
483179745.1546434780,4,00:01:13,"50,00%","US$ 0,00",0,"0,00%"
500868057.1552913233,4,00:00:10,"50,00%","US$ 0,00",0,"0,00%"
513043346.1549366779,4,00:06:24,"25,00%","US$ 0,00",0,"0,00%"
567104255.1544169059,4,00:04:53,"0,00%","US$ 0,00",0,"0,00%"
